20190504,静安,江宁路,正气南北双阳台户型，带地下车位，位置好楼层佳,1210万,达安锦园  | 3室2厅 | 121.34平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-b6463db9-2348-48ed-81a6-07515e887a07.jpg.296x216.jpg
20190504,静安,江宁路,静安寺2/7号线，电梯房，上学方便，新装修有地暖,870万,宝城公寓  | 3室2厅 | 100.59平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-57a962da-bc92-43b4-a531-32b0506a1a22.jpg.296x216.jpg
20190504,静安,江宁路,句容小区 3室1厅 438万,438万,句容小区  | 3室1厅 | 48.99平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-078703f9-4e03-42f7-9fe6-3ad6be19da74.jpg.296x216.jpg
20190504,静安,江宁路,境外业主处理国内资产，满五唯一，税费少，4楼好楼层,275万,三乐新村  | 1室1厅 | 33.08平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-76a5ef7a-11ab-4e07-b7e6-0afb68790df4.png.296x216.jpg
20190504,静安,江宁路,景观位置，正看小区千平绿化，房屋可塑性强，可改4房,1750万,南草坪花园(公寓)  | 4室2厅 | 185.71平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-3f9b8ba8-efd8-494f-ab4a-28c4a6b6042c.png.296x216.jpg
20190504,静安,江宁路,满五唯一，诚意出售 售后公房 老静安两房税少,648万,胶州教师公寓  | 2室2厅 | 97平米 | 东 西 西北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-06443fee-944e-4a17-9089-734b7479addf.jpg.296x216.jpg
20190504,静安,江宁路,售后公房，总价低，双地铁，业主诚意出售，价格可谈,315万,安西小区  | 1室1厅 | 40.8平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b8d94380-2df4-45fb-83c6-d6922732ae69.jpg.296x216.jpg
20190504,静安,江宁路,满五年唯一 静安寺地铁站 全明户型 上学方便,360万,又一村(静安)  | 1室0厅 | 33.91平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-bc908c94-956d-4568-90bf-e557602a7118.jpg.296x216.jpg
20190504,静安,江宁路,售后公房无增值税  楼层好  朝南采光无遮挡,380万,武定路530号  | 1室1厅 | 53.7平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c0e697c2-dccc-4d1b-93ea-7b5f614e17c2.jpg.296x216.jpg
20190504,静安,江宁路,静安晶华园 2室2厅 1330万,1330万,静安晶华园  | 2室2厅 | 111.55平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-98742c9b-8c1f-45ee-877f-e7bb941a29b1.jpg.296x216.jpg
