20190504,普陀,光新,2005年次新小区+婚房精装修+两梯三户,580万,月亮湾  | 1室2厅 | 83.1平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-880c9cc5-9dda-4be8-95c9-8e0024a18823.jpg.296x216.jpg
20190504,普陀,光新,精装两房 双南大阳台 高区视野广,780万,秋月枫舍  | 2室1厅 | 100.55平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a1ff555d-aee3-4544-a344-4f3d194115fc.png.296x216.jpg
20190504,普陀,光新,满五年，南北阳台，视野宽阔，采光充足，诚意出售。,799万,秋月枫舍  | 2室2厅 | 100.21平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a1a0a418-631a-4ad5-985e-d7f9a468dca6.jpg.296x216.jpg
20190504,普陀,光新,岚皋大楼，双南两房，户型方正，采光好,445万,岚皋大楼  | 2室1厅 | 68.23平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-4dbc871b-c656-444a-bd27-527b40601710.jpg.296x216.jpg
20190504,普陀,光新,推荐：南北通一室一厅 全明户型满五唯一 通风采光良好,247万,太浜巷小区  | 1室1厅 | 40.04平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-8c5984b8-87a6-4faa-80b6-3f0138888bdf.png.296x216.jpg
20190504,普陀,光新,太浜巷小区 2室1厅 355万,355万,太浜巷小区  | 2室1厅 | 65.16平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-788018de-26b8-4ef7-bf1d-b11bfd907f24.jpg.296x216.jpg
20190504,普陀,光新,边套全明户型  采光好，实用阳台，业主诚意出售,560万,宝钢公寓  | 3室2厅 | 105.32平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-667599cf-6ec7-4f49-bc2f-5f58ba96e60f.jpg.296x216.jpg
20190504,普陀,光新,满五年唯一，朝南采光好，中间位置看花园，高区景观,1200万,香溢花城(住宅)  | 3室2厅 | 136平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-70be6084-6f50-4d46-a3c8-f7949e1cf243.jpg.296x216.jpg
20190504,普陀,光新,石泉苑 2室1厅 372万,372万,石泉苑  | 2室1厅 | 61.18平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-ab16b35f-9df9-499b-b424-251cd38e9c7e.jpg.296x216.jpg
20190504,普陀,光新,精装修低楼层，看房方便，诚意出售，近地铁3.4.7号线,240万,管弄四街坊  | 1室1厅 | 39.75平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6aa94b7f-d092-4d2b-b24c-870015e46943.jpg.296x216.jpg
20190504,普陀,光新,管弄一二街坊 1室0厅 185万新上,185万,管弄一二街坊  | 1室0厅 | 29.58平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d24eb117-8dad-49a5-87db-fdc388b73df0.jpg.296x216.jpg
20190504,普陀,光新,业主置换，诚心出售。产权清晰，户口可迁，到价签字,625万,石泉邮政大楼  | 2室2厅 | 102.58平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-ec91b43c-a592-4230-b255-00157e60b136.png.296x216.jpg
20190504,普陀,光新,售后公房，此小区唯一在售的3房户型，采光十足。,525万,太浜巷小区  | 3室1厅 | 79.35平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-61d664af-e48f-45fb-b703-0e1bbdf5b085.png.296x216.jpg
20190504,普陀,光新,电梯边套全明两房，小区位于石泉路繁华地段。。,450万,石泉苑  | 2室2厅 | 89.48平米 | 西南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-91d68a55-9126-40df-b4f8-ae09444628e9.jpg.296x216.jpg
20190504,普陀,光新,精装修 户型好  采光无遮挡 可拎包入住,1100万,香溢花城(住宅)  | 3室2厅 | 152.27平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-0e1ce728-db3e-4907-b22e-ab62a4e0d348.jpg.296x216.jpg
20190504,普陀,光新,西边套全明户型，南北两房，诚意出售，到价签字！,250万,童家桥小区  | 2室1厅 | 46.7平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-dcc989fe-d336-4d70-aa4c-34dbb50ca1f5.jpg.296x216.jpg
20190504,普陀,光新,满五唯一，边套全明户型，看房方便,210万,管弄五六街坊  | 1室1厅 | 38.81平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-07a2df30-809e-4675-97bf-aaf10bc4a145.jpg.296x216.jpg
20190504,普陀,光新,南北通一房一厅格局 带15平天井小院 精装修拎包入住,253万,太浜巷小区  | 1室1厅 | 38.78平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-86c61927-9056-41a8-88a4-be8c147402e9.jpg.296x216.jpg
