20190504,宝山,张庙,共和小区 2室1厅 295万,295万,共和小区  | 2室1厅 | 64.6平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-cd76aba6-5039-4c74-aaef-bd0d20e4081d.jpg.296x216.jpg
20190504,宝山,张庙,泗塘四村 2室1厅 235万,235万,泗塘四村  | 2室1厅 | 69.7平米 | 西南 北 | 其他 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-7294f30a-f93b-4eae-8646-0f77ea3a5410.jpg.296x216.jpg
20190504,宝山,张庙,呼玛二村双南四楼，一梯两户，厨卫朝外厅带窗采光好,243万,呼玛二村  | 2室1厅 | 53.29平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0395dc2f-0148-4d4d-8c48-6d5158a2d1fd.jpg.296x216.jpg
20190504,宝山,张庙,共和小区 1室1厅 230万,230万,共和小区  | 1室1厅 | 49.05平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d73d8e5d-459b-452c-a653-afa770abc40f.jpg.296x216.jpg
20190504,宝山,张庙,盛达家园 2室2厅 420万,420万,盛达家园  | 2室2厅 | 91.85平米 | 南 北 | 其他 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a57d6e25-d6a4-4d85-872a-6ab0d06758a3.jpg.296x216.jpg
20190504,宝山,张庙,已改好两房看房提前预约边套户型，采光好价格可谈,168万,呼玛一村  | 1室1厅 | 40.32平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c70b9e06-873f-477c-a0d9-3164a4f68048.png.296x216.jpg
20190504,宝山,张庙,精装三房，采光较好，房型正气，配套齐全,350万,共和八村  | 3室1厅 | 85.94平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-82e3eb0b-bfab-4c0f-abf4-eb6d4971414c.jpg.296x216.jpg
20190504,宝山,张庙,双南两房，精装修，满五年业主诚心出售,235万,呼玛二村  | 2室1厅 | 53.95平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4c7fce57-532e-4754-8a0e-9171af6645f9.jpg.296x216.jpg
20190504,宝山,张庙,呼玛五村 2室1厅 260万,260万,呼玛五村  | 2室1厅 | 57.87平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-fd4faa5e-29ef-464b-87fa-aab95a3be079.jpg.296x216.jpg
20190504,宝山,张庙,精装带地暖 ！一楼带天井，二改三房，看房联系维护人,435万,金棠苑  | 2室2厅 | 98.16平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-90b93bcd-7fe2-4ae9-ae20-fda4ae5da0af.jpg.296x216.jpg
20190504,宝山,张庙,三湘盛世花园 3室2厅 660万,660万,三湘盛世花园  | 3室2厅 | 135.8平米 | 南 北 | 其他 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-49918ded-ae0f-4771-8e87-9744d2cf16aa.png.296x216.jpg
20190504,宝山,张庙,呼玛四村南北两房一梯四户边套全明 近一号线呼兰路,228万,呼玛四村  | 2室1厅 | 58平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a2b37ece-7af8-452d-ba98-9225ccc98c76.jpg.296x216.jpg
20190504,宝山,张庙,呼玛二村，满五年唯一，税费少，看房方便有钥匙，急售,265万,呼玛二村  | 2室1厅 | 68.14平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-3c5fed8d-1123-4dde-be74-8845a9823602.png.296x216.jpg
20190504,宝山,张庙,全南户型，采光好，单价37000+很划算。,162万,呼玛一村  | 1室1厅 | 43.26平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-95f0ef77-cd12-46c9-a60e-fed0b36ecc03.png.296x216.jpg
20190504,宝山,张庙,LianJia优选+满五唯一无个税+精装拎包入住,175万,虎林路518弄  | 1室1厅 | 43.08平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2df78c0f-2e7a-4202-849c-9941a0db75e3.jpg.296x216.jpg
