20190504,杨浦,控江路,大运盛城 南北两房 中间楼层 诚心出售 有车位 带院子,680万,大运盛城  | 2室2厅 | 94平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-4f515f1b-b8c4-466e-b78c-ccf4dcb655ba.png.296x216.jpg
20190504,杨浦,控江路,满五唯一 商圈成熟 交通便利 采光充足房主自荐,285万,凤城二村  | 2室1厅 | 53.61平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3b1939a0-bbe2-426a-905d-be85d167877d.jpg.296x216.jpg
20190504,杨浦,控江路,控江路66号 1室1厅 199万,199万,控江路66号  | 1室1厅 | 40.58平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ded0c697-d69d-4274-917d-ccc0e07e3f9c.jpg.296x216.jpg
20190504,杨浦,控江路,满五唯一+双南两房+产权清晰+诚心出售+近地铁,246万,延吉一村  | 2室1厅 | 44.41平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-23646baf-a99c-405d-ac19-6b0d913d9a6c.png.296x216.jpg
20190504,杨浦,控江路,新华医院+紫荆广场，房龄1997年，满五唯一,290万,凤城路104弄  | 2室0厅 | 54.6平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7d2d2f7d-f03f-4684-847f-b9817ad70932.jpg.296x216.jpg
20190504,杨浦,控江路,92年原建一室一厅 可拎包入住 采光无遮挡 房东诚售,240万,凤城三村  | 1室1厅 | 40.09平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-fe17c70a-42a4-47d0-8b16-e08c5bd54880.jpg.296x216.jpg
20190504,杨浦,控江路,东方名园 2室2厅 850万,850万,东方名园  | 2室2厅 | 97.04平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-04d3fe8d-9941-4bbd-8a16-8c73fea8afce.jpg.296x216.jpg
20190504,杨浦,控江路,两房两厅，环境安静，楼层佳，房东诚心出售,718万,大运盛城  | 2室2厅 | 99.46平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-a21410ab-8124-4c07-8405-fe1b5c514658.png.296x216.jpg
20190504,杨浦,控江路,紫罗兰价格比较实惠的两房，房东诚心出售看房提前联系,850万,紫罗兰家苑  | 2室2厅 | 99.04平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-1f9c00d2-f941-4faf-a251-7603b3e26c19.jpg.296x216.jpg
20190504,杨浦,控江路,二楼朝南一门关带阳台 近地铁口商场医院 86年原建,190万,凤城二村  | 1室1厅 | 32.3平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-16849ae4-bbd2-43c3-8980-2391cb5e269d.jpg.296x216.jpg
20190504,杨浦,控江路,急售+内环+地铁8号线+紫荆广场+附储藏室+阁楼待开发,275万,黄兴路1019弄  | 2室0厅 | 50平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-3bd824b9-93b6-4d29-a066-08eac33dab18.jpg.296x216.jpg
20190504,杨浦,控江路,凤城三村+94年原建+一梯三户+开放式厨房+看房方便,225万,凤城三村  | 1室1厅 | 41.29平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-043db792-dbcf-4f63-b6c6-db1088e45985.jpg.296x216.jpg
20190504,杨浦,控江路,房东诚意出售+商品房+99年原建+一梯两户+两房朝南,666万,控江一村  | 2室1厅 | 91平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-447cd2bc-e880-43c2-b0d4-886ae39f9097.jpg.296x216.jpg
