20190504,黄浦,世博滨江,耀江两房+双卫户型+全南中庭景观+满五V一+看房方便,1240万,中楼层(共34层)                                                    | 2002年建 |                                 2室2厅 | 103.4平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-4356ec6b-2b97-4c50-bd26-f1aa4f13000e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,黄浦,世博滨江,二期138平三房，少出的正气房型，装修精致看房方便,1700万,低楼层(共36层)                                                    | 2012年建 |                                 3室2厅 | 137.85平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-6a83fa8a-de09-43fd-9574-5c21642ecb28.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,黄浦,世博滨江,高区南北通3房 市民居委 诚意出售 看房方便。明户型,1320万,高楼层(共30层)                                                    | 2005年建 |                                 3室2厅 | 134.83平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/test-af680bb7-e1cf-41ec-a543-c0699f69e216.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,黄浦,世博滨江,融创开发 从未入住 附两花园 390平5房 诚意出售,3350万,低楼层(共38层)                                                    | 2012年建 |                                 5室3厅 | 390平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/f648c87c-8e1f-4e88-af88-f4c698585fc9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,黄浦,世博滨江,48号线+满五唯一+单价低+看房方便+今年可用,1050万,低楼层(共22层)                                                    | 2005年建 |                                 3室2厅 | 140.84平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/3af0f95f-b371-4eef-b7a5-920fb9bb97b0.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,黄浦,世博滨江,黄浦江边，绿地品质，满5唯一，地铁4/13号线，未入住,3150万,低楼层(共22层)                                                    | 2010年建 |                                 3室2厅 | 293.86平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/b4ead920-4dc4-40eb-b0ec-be5a790a88f6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,黄浦,世博滨江,江景！江景！98年商品房+一梯两户+公园旁+直视黄浦江,668万,中楼层(共6层)                                                    | 1998年建 |                                 2室2厅 | 78.69平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-dd032c72-792c-44bd-a77e-960c90c77bdb.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,黄浦,世博滨江,耀江花园，顶楼复式，俯瞰江景，带露台,2951万,高楼层(共30层)                                                    | 2006年建 |                                 4室2厅 | 245.99平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-fbe9d084-c5b3-449c-b033-025ba0e40356.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,黄浦,世博滨江,融创小户型，房东诚意出售，婚房装修，随时看房,1750万,中楼层(共27层)                                                    | 2012年建 |                                 3室2厅 | 172.95平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-2f4fe898-d656-441a-8ad9-6b0fad63146e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,黄浦,世博滨江,春江大楼 2室1厅 南,520万,低楼层(共20层)                                                    | 1984年建 |                                 2室1厅 | 68.44平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-37addcde-64b9-4f48-b723-5bc888f52541.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,黄浦,世博滨江,世博版块，绿地品质，高区江景房，带会所，有产权车位,3500万,高楼层(共22层)                                                    | 2010年建 |                                 3室2厅 | 315.85平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-1ec866e3-dd4c-488c-902a-9a677816d740.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,黄浦,世博滨江,满5唯一，2房朝南，视野开阔，地铁4/13，邻公园靠江边,650万,中楼层(共28层)                                                    | 2004年建 |                                 2室1厅 | 83.89平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/5ecee2b4-b56f-4095-91eb-73b1210e059c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,黄浦,世博滨江,全南户型+邻近地铁+中间位置+设施齐全,590万,低楼层(共6层)                                                    | 1988年建 |                                 2室1厅 | 62.47平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-26baea81-1b82-4d7f-8b8d-ad03c445c299.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,黄浦,世博滨江,瞿四小区、便利1楼、采光不挡，经典一室户,240万,低楼层(共5层)                                                    | 1999年建 |                                 1室1厅 | 28.89平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-0ac5612f-25bb-4f9c-a96a-69b2bcde1222.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,黄浦,世博滨江,全明户型，精装修两房，有车位，一梯一户,1700万,低楼层(共27层)                                                    | 2012年建 |                                 2室2厅 | 172.95平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-0d0def4d-b4d1-48d6-9247-1c1903d5e6ca.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,黄浦,世博滨江,瞿溪新村，全南全明两房，看房有钥匙,293万,低楼层(共5层)                                                    | 1980年建 |                                 2室1厅 | 46.75平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-de1c8be4-a079-4858-be98-c894157eea49.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,黄浦,世博滨江,高区南向看江、人车分流、自带7000平米会所、绿城物业,3000万,高楼层(共27层)                                                    | 2012年建 |                                 4室2厅 | 264.41平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-b657a9e4-d5d0-4582-9dae-a3e241314400.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,黄浦,世博滨江,你知道吗？这是本小区唯一在售的顶楼复式房！！！！！,2950万,高楼层(共35层)                                                    | 2001年建 |                                 6室2厅 | 264.42平米                                  | 西南,https://ke-image.ljcdn.com/310000-inspection/83f49650-89af-4463-9404-2a53aa0ffed5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,黄浦,世博滨江,耀江花园总价低2房，前排朝南看江景,1180万,低楼层(共32层)                                                    | 2006年建 |                                 2室2厅 | 94.8平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-fc8b37ac-d75a-437b-b604-a9c7133b4672.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,黄浦,世博滨江,南北通透+全明户型+中间楼层+打浦桥地段+阳光全天,340万,低楼层(共6层)                                                    | 1978年建 |                                 2室1厅 | 48.7平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-574d0e71-24d3-48ff-ae05-48048d62bc20.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
