20190504,闵行,静安新城,红明一村两房挂牌价低+诚心卖+邻近九号线星中路站，,300万,高楼层(共6层)                                                    | 1994年建 |                                 2室1厅 | 61.29平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-6c74a5aa-69b7-41f4-ba8f-f39db5bdef88.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,9号线地铁口+九星市场旁边+成熟地段,199万,低楼层(共6层)                                                    | 1994年建 |                                 1室1厅 | 38.48平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-371b97d3-8fcc-4084-9655-98bb97111296.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,此房只有契税，景观楼层，位置佳，带产权车位诚意出售,790万,高楼层(共12层)                                                    | 2006年建 |                                 2室2厅 | 97.4平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-2e8ae2a9-1567-4eb5-83cf-d62e35f22e4a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,九号线毛坯大三房 可根据自己喜好装修设计 看房方便,490万,中楼层(共6层)                                                    | 1994年建 |                                 3室1厅 | 103.35平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-b20c2400-5a84-4547-8d5d-c2cab5479537.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,双南两房，一梯两户，近地铁，采光视野好，诚意出售,330万,高楼层(共6层)                                                    | 1994年建 |                                 2室1厅 | 60.94平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-5b471e46-5bcf-4133-8523-d1bafa825107.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,一梯两户 双南户型 可改三房  近九号线 门口七宝实验,440万,中楼层(共6层)                                                    | 1998年建 |                                 2室1厅 | 78.79平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-3df2090e-b67e-44e6-bc7b-bbf85d88251f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,精装2房，中间楼层，满五唯一税少，房东诚心出售，,385万,中楼层(共7层)                                                    | 1997年建 |                                 2室1厅 | 65.02平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-345a9763-f774-4338-84de-20858fc8ec1d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,大上海国际花园十六区 5室2厅 南,999万,低楼层(共11层)                                                    | 2008年建 |                                 5室2厅 | 165.34平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-ef07ba95-7e23-404b-9d83-f50b7fc8bee5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,静安新城五区大三房，边套全明户型，看房方便诚意出售,470万,高楼层(共7层)                                                    | 1997年建 |                                 3室1厅 | 85.83平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-fbb64a4b-599f-47fe-8ba9-7c1e693e81b8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,九歌花园带产权车位大三房 精装电梯中高层 不临路！,978万,中楼层(共12层)                                                    | 2008年建 |                                 3室2厅 | 137平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-70c8f435-44dd-4aba-aead-4ab500be580b.png!m_fill,w_280,h_210,f_jpg?from=ke.com
