20190504,松江,松江大学城,首创锦悦，正气3房，南北通透，精装修，诚售,370万,中楼层(共18层)                                                    | 2015年建 |                                 3室2厅 | 91平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-7aa1dd4e-740f-43c4-9a02-259670601857.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,南北直通，三开间朝南，满五唯一，楼上楼下两套房,565万,低楼层(共14层)                                                    | 2006年建 |                                 2室2厅 | 197平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/f9bf2fa8-b14d-4877-adb4-ecb9e898359e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,绿地蔷薇九里(公寓) 3室2厅 南,390万,中楼层(共11层)                                                    | 2011年建 |                                 3室2厅 | 92平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-9ea9cb7f-639b-442c-b79c-373ebd89dac6.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,满五年唯一空关税费少，双南房，飞机厅看房有钥匙,420万,高楼层(共6层)                                                    | 2006年建 |                                 3室2厅 | 132.06平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-3f96790a-1fc3-4922-99fc-90c74d6cd4f2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,满五年免个税，景观好，精装修中Yang空调，入住半年,435万,中楼层(共27层)                                                    | 2006年建 |                                 2室2厅 | 107.64平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-313a3a9a-45e2-421f-a8ca-dec840257995.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,看房随时，房东诚意，经典户型。,535万,低楼层(共14层)                                                    | 2007年建 |                                 3室2厅 | 124平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-495750c0-6926-42d7-9844-950922e56daf.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,三湘二期，稀有景观湖旁大四房，60多万装修，看房方便,720万,低楼层(共14层)                                                    | 2007年建 |                                 4室2厅 | 159.39平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/1be9a4b6-9b49-4145-9080-a840ba01c29e.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,保利正气大两房，南北直通厅，业主诚意出售。,347万,高楼层(共11层)                                                    | 2008年建 |                                 2室2厅 | 90.74平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-8995be6f-635b-490a-b590-8eca44c35d33.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,满五唯一，经典小三房，南北通透东边套，楼层位置好,340万,中楼层(共11层)                                                    | 2010年建 |                                 3室2厅 | 91.6平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-a2de08de-b0c7-4fa5-b843-6fb42bcfbc74.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,上坤红树湾 3室1厅 南 北,618万,高楼层(共7层)                                                    | 2016年建 |                                 3室1厅 | 108平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-d51e36c1-89de-4696-a87c-9573aa2acbcf.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
