20190504,徐汇,徐汇滨江,98年房龄  江景房直面滨江，板式户型带阁楼，一梯两户,699万,高楼层(共4层)                                                    | 1998年建 |                                 2室2厅 | 89.5平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-7a50a0f9-2f94-4892-aa69-3c666f8f9029.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,小区位置佳，税费少，总价低，业主诚意，东边套采光好,350万,高楼层(共6层)                                                    | 1987年建 |                                 2室1厅 | 59.99平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-0e1bbb64-f02c-4730-9363-45115f19a67d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,徐汇滨江，品质小区，精装交付，高区采光，诚意可谈,580万,高楼层(共26层)                                                1室1厅 | 67平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/ffee6519-e85e-47ab-8646-e67cddc42ca9.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,一梯两户两室一厅，一览黄浦江，图书馆分房,440万,高楼层(共6层)                                                    | 1997年建 |                                 2室1厅 | 73.35平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-cbb3db3c-4da5-4c7f-83cd-bd80acd44807.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,动迁房 满五年唯一，近滨江，通风好，看房方便,370万,高楼层(共6层)                                                    | 1999年建 |                                 2室1厅 | 68.89平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-a5f78a99-72b2-4a17-a6d0-f256db6e2dbd.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,二期板式正三房，一线江景，转角大阳台，钥匙在我手！,2380万,高楼层(共31层)                                                    | 2016年建 |                                 3室2厅 | 188平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-b3c3a97c-401e-41d7-8e8a-c5955a5527c2.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,长峰小区 2室2厅 南,575万,低楼层(共10层)                                                    | 1999年建 |                                 2室2厅 | 105.22平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/rsp_pic_upload34c52819-347f-48c5-817a-c64fb52cd337.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,1999年小区，徐汇滨江，楼层好总价低。精装修，quan明,448万,低楼层(共6层)                                                    | 1999年建 |                                 1室2厅 | 55.5平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-d1a73b26-5bd3-4409-96d5-8a4a9159ba95.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,徐汇滨江独特一房+11号线龙耀路站+房东诚意出售,360万,高楼层(共6层)                                                    | 1998年建 |                                 1室1厅 | 60.52平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/c8350ec8-bff1-4f5c-95b3-281079af5d71.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,稀有高区全明4房，楼层好视野开阔，户型正满5年精装,2298万,中楼层(共37层)                                                    | 2009年建 |                                 4室2厅 | 199平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-10533413-7a05-404b-afe9-21f281b20bea.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
